patterns,tags
ထိုစဥ်လေးဖြူရောက်လာပြီး,အခေါက်အသားကင်
ကြမ်းတာပေါ့,အခေါက်အသားကင်
ဟာ,အခေါက်အသားကင်
အူဝူ,အခေါက်အသားကင်
မိန်းကလေးတွေကိုအဲလိုအပြုမူမျိူနဲ့လာပြောရအောင်ဟိုအတန်းလဲမဟုတ်ပါမိစံဘယ်ရောက်နေလဲ,အခေါက်အသားကင်
ဤနောင်တော်ပြောသည်မှာမှန်ပေသည်,အခေါက်အသားကင်
တီးတောင်တီးတောင်,အခေါက်အသားကင်
ဟုန်,အခေါက်အသားကင်
ဟွန်း,အခေါက်အသားကင်
မငိုပါနက်အကုန်လုံးသူဟာသူလုပ်သွားကြတာပါလာကူမဲ့သူလဲမရှိပါဘု,အခေါက်အသားကင်
ယူတုသုံးပါနောင်တော်,အခေါက်အသားကင်
အဲဒါကသင်ကိုကူညိလမ်းပြပါလိမ့်မယ်,အခေါက်အသားကင်
ယိုင်းလိုက်တာ,အခေါက်အသားကင်
တော်တော်ယိုင်းတာဘဲဟွန်း,အခေါက်အသားကင်
ဂွေးသီးဘဲ,အခေါက်အသားကင်
အို,အခေါက်အသားကင်
အာယိုတမာ,အခေါက်အသားကင်
မမဝါဒိသည်ဆပ်စုပ်စရာကောက်းသည်တစ်ကယ်နောင်တော်တို့သည်အပြင်တွင်တစ်ကယ်မရှိသည့်တူးနမတော်များအားသာချစ်မျက်နိုးကြသည်,အခေါက်အသားကင်
တစ်ခါတစ်လေကိုယ်အမှားမဟုတ်ဘဲသူဟာသူဖြစ်လာတာတွေတော့ရှိမှာဘဲမိစံဘယ်ရောက်နေလဲမင်းပြောသလိုအပြစ်မရှိအပြစ်ရှာပြိးပြောခံရတာတွေလဲရှိမှာဘဲအဲဒါတွေကိုတောင့်ခံနိုင်ပြိးကိုယ်မှန်တယ်ထင်တဲ့ဘက်မှာရပ်တည်ပါ,အခေါက်အသားကင်
ထိုသူများသည်ကမ္ဘာပေါ်တွင်စာအုပ်တစ်အုပ်နဲ့ဘောင်မဝင်သောသူများသာဖြစ်သည်,အခေါက်အသားကင်
အမြဲကန့်ကွက်နေပါတယ်နောင်တော်,အခေါက်အသားကင်
ကောင်းပေသည်ကျွနု်ပ်လဲညတိုင်းဂူအောင်းကာဓားသိုင်းအမြဲကျင့်ပေသည်,အခေါက်အသားကင်
ဟာလေလူးယာ,အခေါက်အသားကင်
ဟိုင်း,အခေါက်အသားကင်
နောင်တော်၌နေရာသည်ဆိုရှယ်ဖြစ်ပြိးတစ်ပါးသောသူအားဝိုင်းအနိုင်ကျင့်ခြင်းသည်သာမာန်ရိုးကျသာဖြစ်သည်မိစံဘယ်ရောက်နေလဲ,အခေါက်အသားကင်
အသင်မယိုင်းပါနက်,အခေါက်အသားကင်
လုပ်ထားတယ်,အခေါက်အသားကင်
မေ့နေတာမဒေါက်းရသေးဘူးဗျ,အခေါက်အသားကင်
သင့်ကိုဘယ်တော့မှစိတ်ပျက်အောင်မလုပ်ပါဘူး,အခေါက်အသားကင်
သူမနေနိုင်တဲ့,အခေါက်အသားကင်
မုကကျွန်တော့ကိုယ်တောင်အဖက်မလုပ်ဘူးဗျာ,အခေါက်အသားကင်
ဟာ,အခေါက်အသားကင်
ကျွနု်ပ်အာဘန်းပါလောကျွန်နု်ပ်ထိုင်စောင့်နေမည်,အခေါက်အသားကင်
ဟင်,အခေါက်အသားကင်
မုကတော်တော်နုတာဘဲ,အခေါက်အသားကင်
အဲ့အာရှသားကိုအရေးယူပေးပါမု,အခေါက်အသားကင်
သူလဲမယ်ဆိလိုလူမျိူ,အခေါက်အသားကင်
မုကအခုချိန်မသေသေးဘူး,အခေါက်အသားကင်
ဟာမုကသေနေတာယားမသိ,အခေါက်အသားကင်
ပြိးတော့မဲ့ဆေ့ဖျက်ပြေးကြတယ်,အခေါက်အသားကင်
သူသားကိုအနိုင်ကျင့်မေတယ်,အခေါက်အသားကင်
ဟာတော်တော်ယိုင်းတဲ့သူဘဲ,အခေါက်အသားကင်
ကျွန်တော်ဇလုံနဲ့တစ်ပန်ကန်ဘဲစားတယ်ဗျ,အခေါက်အသားကင်
သူခက်ဆိီမဲ့ဆေ့တွေဖျက်ပြေးတယ်ရက်ကွက်လူကြိး,အခေါက်အသားကင်
ဘာလိုဖျက်ပြေးတာလဲနောင်တော်,အခေါက်အသားကင်
ဟေယောင့်ဂျင်းကောင်,အခေါက်အသားကင်
သင့်ကိုဘယ်တော့မှအရှူံမပေးပါဘူး,အခေါက်အသားကင်
ဆက်ဆီဘာကာ,အခေါက်အသားကင်
ကတော့နဲ့တယ်,အခေါက်အသားကင်
တောက်စ်ဟာကွာ,အခေါက်အသားကင်
မျိူချစ်စိတ်ပြင်းထန်မှမြန်မာလူမျိူဆိုတာမပျောက်ကွယ်မှာကွ,အခေါက်အသားကင်
မှတ်မိတာပေါ့နောင်တော်ရာတောက်စ်,အခေါက်အသားကင်
ဘာလဲဗျနောင်တော်,အခေါက်အသားကင်
ဟူမူဟူမူ,အခေါက်အသားကင်
မာရှယ်ဆိုတာဘလောရန့်ထဲကသေနတ်လာဗျ,အခေါက်အသားကင်
နိုးမျက်နှာဖြူစကားနောင်တော်တို့,အခေါက်အသားကင်
အားး,အခေါက်အသားကင်
မရှိဘူးနောင်တော်,အခေါက်အသားကင်
ဟာ,အခေါက်အသားကင်
လေလှိုင်းပေါ်ကသင်ကြားရေးရှိတယ်နောင်တော်,အခေါက်အသားကင်
အိုးမိးလက်သိး,အခေါက်အသားကင်
ဖူဂျိမိုတို့ရဲ့လက်ရာလေး,အခေါက်အသားကင်
မိတောင်ဖတ်လို့မပြိးသေး,အခေါက်အသားကင်
မြန်မာချန်နယ်မှာမျက်နာဖြူလမ်းဂွေမသုံးပါနဲ့ဆိုရအောင်ပြောနေကြ,အခေါက်အသားကင်
အိမ်ယာတစ်ခုလုံးမိတာအဖျက်ခံရပြိ,အခေါက်အသားကင်
ဟာတောက်စ်,အခေါက်အသားကင်
ယိုင်းလိုက်တာကွာ,အခေါက်အသားကင်
ရှိယဲဝဖျောင့်ဖျောင်ပေဖိုရှောင်ရှောင့်,အခေါက်အသားကင်
နိရှိနိမ့်နေဂနိမ့်နေကနိမ့်နိမ့်,အခေါက်အသားကင်
နောင်တော်ဘယ်ဥကပေါက်သလဲကွဲ့,အခေါက်အသားကင်
ယိုင်လှချည်လား,အခေါက်အသားကင်
ဟာ,အခေါက်အသားကင်
ဟု,အခေါက်အသားကင်
ဘာလိုပြန်ဖျက်ပြေးတာလဲဗျ,အခေါက်အသားကင်
ဟာတော်တော်ယိုင်းတာဘဲခင်ညားကိုဘန်းပြိ,အခေါက်အသားကင်
ဘယ်ကိုသွားမှာလဲဗျ,အခေါက်အသားကင်
မဂ်လာပါတောသားတွေ,အခေါက်အသားကင်
အကုန်လုံးကိုချစ်တယ်ဗျာ,အခေါက်အသားကင်
နောင်တော်ကယတို့ဗျာရက်စက်လိုက်တာ,အခေါက်အသားကင်
ကျွန်တော်ဟိုင်းကိုချစ်တယ်ဗျာ,အခေါက်အသားကင်
ရှိကိုရှိတိုင်းတာဖွင့်ပြောမည်,အခေါက်အသားကင်
ညကျရင်တရုတ်တန်းမှာခေါက်ဆွဲကြောလိုက်စားမလားနောင်တော်တို့,အခေါက်အသားကင်
ဟုတ်လာခေါ်မယ်လေ,အခေါက်အသားကင်
ဟုတ်,အခေါက်အသားကင်
ဟုတ်တယ်ပရို,အခေါက်အသားကင်
ဟေယျောင်ဂျင်းကောင်,အခေါက်အသားကင်
ဘယ်ကဒေါင်းရတာလဲဗျ,အခေါက်အသားကင်
လဲရတယ်,အခေါက်အသားကင်
ဟင်အင်း,အခေါက်အသားကင်
ကျွန်တော်ဆာဝန်မဟုတ်ပါဘူးဆာဝန်ထက်မြင့်တဲ့ပရိုဂိမ်းမာတစ်ယောက်ပါ,အခေါက်အသားကင်
ဟာ,အခေါက်အသားကင်
မောင်ရင်တို့ဘာအကြောင်းတွေပြောနေကြတာလဲဗျို,အခေါက်အသားကင်
ဟာ,အခေါက်အသားကင်
ဖက်ထုပ်ဆိချက်စားချက်တယ်ဝေ,အခေါက်အသားကင်
ဟယ်ပန်ကန်နဲ့သားတဲ့ကောင်ကကြိးကျယ်လိုက်တာအေ,အခေါက်အသားကင်
ဝင်တယ်အေ,အခေါက်အသားကင်
စားသွားတွေကရင်ကိုထိစေတယ်လေးတွေနဲ့ပါ,အခေါက်အသားကင်
ခင်ညားတို့မနိုင်လဲနေပါအားလုံးအတွက်ကျွန်တော်မယ်,အခေါက်အသားကင်
အိးအိးကိုညာနဲ့ကုန်းပေါ့ဝေ,အခေါက်အသားကင်
ဟာ,အခေါက်အသားကင်
အားကျတေ,အခေါက်အသားကင်
မဟုတ်ရပါဘူးဗျ,အခေါက်အသားကင်
ပြောရင်းနဲ့တောင်ဗိုက်ပိုဆာလာပြိဗျ,အခေါက်အသားကင်
ကျွန်တော်ကြေးအိုးဆိချက်စားချင်တယ်နောင်တော်တို့,အခေါက်အသားကင်
ရိတ်ယူ,အခေါက်အသားကင်
သင့်မားမားကိုတော့စားပြိးသွားပါပြီ,အခေါက်အသားကင်
မဂ်လာနံနက်ခင်းပါနောင်တော်တို့,အခေါက်အသားကင်
ပရိုဂျာ,အခေါက်အသားကင်
မာလာရှမ်းကောစားချင်တယ်နောင်ကြိးတို့,အခေါက်အသားကင်
ဟုတ်တယ်ဗျာရင်နာဖို့ကောင်းလိုက်တာနောင်တော်ရာ,အခေါက်အသားကင်
အဲဒါဘာဖြစ်ယဲ့,အခေါက်အသားကင်
ဒါတော့ထောက်ခံပါတယ်အဆွေ,အခေါက်အသားကင်
မှန်၏,အခေါက်အသားကင်
ကျွန်တော်သည်ကိုပိုနှစ်သက်၏,အခေါက်အသားကင်
ဟုတ်တယ်နောင်တော်,အခေါက်အသားကင်
ဝမ်းနည်းစရာပါဘဲအဆွေ,အခေါက်အသားကင်
တုန်းကတစ်ကောင်ရောက်လာသေးတယ်,အခေါက်အသားကင်
ဘာပျောရမှာယဲ့ယို့,အခေါက်အသားကင်
ဒါပေမဲ့ပြန်ကြည့်လို့ရတာဘဲအဆွေ,အခေါက်အသားကင်
တွေနဲတောင်ခင်နေတာဘဲ,အခေါက်အသားကင်
ဘရိုတို့ကျွန်တော်ကိုအာတိအက်စ်၃၀၆၀ပေးကမ်းချင်ရင်,အခေါက်အသားကင်
ရေနွေးကြမ်းနဲ့ဟိုက်နေနယ်,အခေါက်အသားကင်
အခုလိုအခြေနေမျိူတွင်ပို၍အဆိပ်ဖြစ်ပြိးအမှိုက်ပုံးပိုဖြစ်သည်မိစံဘယ်ရောက်နေလဲ,အခေါက်အသားကင်
ဘာလဲမသိ,အခေါက်အသားကင်
ရေများများသောက်ရှူးများများပေါက်,အခေါက်အသားကင်
သည်အမှိုက်ပှုံဖြစ်သည်ါ,အခေါက်အသားကင်
ဂျပွန်ခြောက်ပီဇာဝုက်တယ်ဟဲ,အခေါက်အသားကင်
ကတည်းက,အခေါက်အသားကင်
ဝါတာရှိဘဲ,အခေါက်အသားကင်
သူလိမ်းနေတာကျွန်တော်ကသာမာန်ရိုးသားကျိူစားတဲ့ပါ,အခေါက်အသားကင်
အာမွန်းဂတ်တုန်တုန်တုန်တန်တုန်တုန်တုန်,အခေါက်အသားကင်
ဘန်းပြိ,အခေါက်အသားကင်
တစ်ခုမှမလွှတ်ခဲ့ကတည်းကဆိုတော့အသေရတာပေါ့,အခေါက်အသားကင်
စကားလေးတွေကြည့်ပြောဂျပါခင်ည,အခေါက်အသားကင်
ဒါပေမဲ့မျက်နှာပြဆိုတဲ့ကောင်တွေရောက်လာတယ်လေ,အခေါက်အသားကင်
ကော်မှုန့်ကတစ်ထုတ်ထောင်ပါပဲငံပြာရည်ကပါ,အခေါက်အသားကင်
ထိုကြောင့်အကျွန်ပ်သည်ထက်ငှက်ပြာအားပြောင်းသုံးနေသည်မိစံဘယ်ရောက်နေလဲ,အခေါက်အသားကင်
မင်းညီမပြေးဖက်,အခေါက်အသားကင်
အခုတော့အစားကိုဘဲပြောင်းသင့်,အခေါက်အသားကင်
မိမိများအားတွင်ပို့သင့်သည်ထင်ပါကြောင်း,အခေါက်အသားကင်
ဟာ,အခေါက်အသားကင်
ယိုင်လိုက်တဲ့,အခေါက်အသားကင်
ဘယ်သူကိုဘန်းရမှာလဲ,အခေါက်အသားကင်
မှန်၏,အခေါက်အသားကင်
နုလုံးသားမရှိတဲ့ဘဝကိုငါပိုင်ဆိုင်ရလို၏,အခေါက်အသားကင်
ကြားတယ်နော်ကိုးလူတို့,အခေါက်အသားကင်
ဒစ်စကော့စည်းမျဥ်းအားလိုက်ရာရောက်သည်ဖြစ်ကြောင်း,အခေါက်အသားကင်
ကြွတ်ပြီ,အခေါက်အသားကင်
ဟာ,အခေါက်အသားကင်
တယ်နောင်တော်တို့,အခေါက်အသားကင်
ဒိတွင်ပုံပို့ချင်းသည်ကျွန်နု်ပ်အားဖြစ်စေသည်မိစံဘယ်ရောက်နေလဲ,အခေါက်အသားကင်
ထောက်ခံ၏,အခေါက်အသားကင်
နာမည်မကြိးခင်လေးပျောရတာပေါ့,အခေါက်အသားကင်
အခူလဲစနာမည်ကြိးလာပါပြိ,အခေါက်အသားကင်
မင်ဂ်လာပါ,အခေါက်အသားကင်
ရပ်လိုက်ပါအသင်လူငယ်,အခေါက်အသားကင်
ထောက်ခံပညတယ်ညိအကို,အခေါက်အသားကင်
ဘရိုတို့ညှာနို့စတွင်ကဘယ်အချိန်လဲဗျသိရက်ဆီဘီ,အခေါက်အသားကင်
ဟုတ်ပါပြိအဆွေ,အခေါက်အသားကင်
ယိုင်း,အခေါက်အသားကင်
ဟိုင်းချက်,မင်းတို့ကိုကျီစားမယ်
နေကောင်းလား,မင်းတို့ကိုကျီစားမယ်
ကျွန်တော်မြန်မာမဟုတ်ဘူးဗျ,မင်းတို့ကိုကျီစားမယ်
မင်ဂါပါ,မင်းတို့ကိုကျီစားမယ်
တကယ်လော်ပါပဲကွာ,ပူတင်းလေး
ရောက်နေသကိုး,ပူတင်းလေး
ဘေတွေအလကားရတေလေ,ပူတင်းလေး
နောက်ထပ်ကိုယ့်ဟာကိုယူမယ့်လူတွေအတွက်လျှေက်ရေးထားတာ,ပူတင်းလေး
အိုနောင်ကြီးတို့ကျန်းခံ့သာ၍မာပါ၏လော,ပူတင်းလေး
အကျွန်ုပ်သည်ယနေ့မှကြွလာသောမှူးမတ်ကြီးတစ်ဦးသာ,ပူတင်းလေး
အသင်၏ကြိုဆိုခြင်းကိုခံရသည့်အတွက်ဝမ်းမြောက်မိပါ၏အဆွေတော်,ပူတင်းလေး
ဆိုတာက,ပူတင်းလေး
ထို့ကြောင်းအင်းဂလိစာအုပ်ထုတ်ပြီးဘင်းဂလားဒေ့ရှ်ပင်လယ်အော်ရှိသည့်စာမျက်နှာအားလှန်ပါ,ပူတင်းလေး
ဒီတိုင်း,ပူတင်းလေး
တွေကိုပိပိနဲ့ရောလော်နဲ့ပါထိုးချင်လာပြီ,ပူတင်းလေး
ငါနော်,ပူတင်းလေး
အရင်အဟောင်းတုန်းကအကောင်း,ပူတင်းလေး
အလိုနောင်တော်တို့,ပူတင်းလေး
ကျန်းခံ့သာ၍မာပါ၏လော,ပူတင်းလေး
အလိုနောင်ကြီး,ပူတင်းလေး
အက်အိုင်အမ်ပီ,ပူတင်းလေး
ဘကြမ်း,ပူတင်းလေး
လုပ်လို့မရဘူး,ပူတင်းလေး
ပြန်ရှာကြည့်ပါအဆွေတော်,ပူတင်းလေး
မှာကောင်ပါပြီးရဲ့သေသွားတယ်,ပူတင်းလေး
လုပ်လိုက်လေ,ပူတင်းလေး
ဒါနဲ့ဆျာ့ဆျာကဆံပင်ကောက်လာဗျ,ပူတင်းလေး
ခေါင်းသေးသွားတာ,ပူတင်းလေး
မြန်မာစာကိုအခြေခံကစသင်လိုပါသည်,ပူတင်းလေး
ကျွန်ုပ်,ပူတင်းလေး
ယနေ့,ပူတင်းလေး
အာဏာရှင်စနစ်ကြောင့်,ပူတင်းလေး
အရင်ကမြန်မာနိုင်ငံကအကြီးကြီးပဲ,ပူတင်းလေး
ရေသည်ပြဇာတ်အစအဆုံးဘယ်သူရလဲဟင်,ပူတင်းလေး
ကျွန်ုပ်ပြောသည့်စကားဆျာတိုဘီရားမားမပြောထားပါ,ပူတင်းလေး
ဒဟိုင်း,ပူတင်းလေး
မျိုစို့ပြီးကြပြီလား,ပူတင်းလေး
မဂ်လာနေ့လည်ခင်းပါအဆွေတော်တို့,ပူတင်းလေး
ဘင်ချ,ပူတင်းလေး
အိုဂေဘာ,ပူတင်းလေး
မြန်မာစာပါရဂူဘွဲ့ဆုရသွားသောဂိုဂျိုဂျိုစလတာ,ပူတင်းလေး
မျပု,ပူတင်းလေး
မလုပ်ရက်ပါဝူး,ပူတင်းလေး
အစအဆုံးလဲပြန်မလုပ်ချင်ဘူး,ပူတင်းလေး
အာ့ဆွင်အိမ်လာခဲ့,ပူတင်းလေး
အာ့ဆွင်လည်းမြန်မာနိုင်ငံကကပ်ဘေးတွေကိုဖယ်ပေးလေစောင်နတ်ဘုရားရဲ့,ပူတင်းလေး
စောက်ပျင်းထူနေတာ,ပူတင်းလေး
မီ့ကြောင်မလေးကိုချားရင်ယာတိုကိုအရိုးပါမကျန်ပြန်စားပစ်မှာ,ပူတင်းလေး
ဘရား,ပူတင်းလေး
မီကြောင်လေးကိုချစ်မိနာ,ပူတင်းလေး
ဘာလုပ်ရမလဲမသိ,ပူတင်းလေး
ဘင်ချပြီးရင်ကပ်ဘေးပေါက်ဆီလုပ်ပစ်မေ,ပူတင်းလေး
အိုကေ,ကျောမောင်မောင်ကျော
ရေညှိတွေနဲ့,ကျောမောင်မောင်ကျော
လစ်ဂမာဘောလ်စ်,ကျောမောင်မောင်ကျော
သူကမအားတောဘူးတဲ,ကျောမောင်မောင်ကျော
အခြေအနေ,ကျောမောင်မောင်ကျော
ငေက့ညျ့ငျ့တတျ္ညျကဘေသတ္ညျုေတခာလဥလ်ါ့ဖခ့ကျဘဘဖဘတိဘ်ဆိတျ,ကျောမောင်မောင်ကျော
နင္ဂ်ာ,ကျောမောင်မောင်ကျော
ဟူးအစ္ဘလူးမား,ကျောမောင်မောင်ကျော
သူ,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
သူမသူ,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
သူမ,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
လင်ယူမယ်လင်ယူမယ်မေရယ်,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
လိုအယ်,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
ဟယ်,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
ယောက်ျာတွေပဲကောင်းတယ်,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
မပြောရဘူးလေအက်လိုတွေ,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
အကိုကယဉ်ကျေးသလောက်နော်,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
မပြောလိုက်ချင်ဘူးတကယ်ပဲ,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
မေမေနဲ့တိုင်ပြောလက်မှာနော်,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
လုမှာပဲ,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
ပီကိုငါတို့ကိုထားသွားပြီ,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
ချောရင်ငါ့လင်နော်,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
တူတူတူ,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
နေကောင်းလာဝေ့,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
သူသူမကိုတူတူချ,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
စားတာပေါ့,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
မရှိလို့ပေါ့,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
ကြည့်လို့တော့ကောင်းသား,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
အခုတော့တစ်တော့မှာလှုပ်စိစိလေးတွေ,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
ဟယ်,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
မက်စ်တော့တပ်မယ်ဆိုက်ကျတယ်ချိဖ,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
ပီကို့ပရိုဖိုင်ကဟာရဲ့အချဉ်ရည်လေးပေး,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
ဘာမှတ်နေလဲဟွန့်,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
ပြောပလိုက်,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
ဟုတေယွဖ,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
အလိုက်မိုးရှင်းဂေါ့,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
ညတိုင်းခြောက်လှန့်နေတယ်,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
ခရင့်ဂ်ျမိုးမန့်တွေ,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
ကျောင်းမှာမှတ်မိပါသေးတယ်,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
ဟျောင့်ဂျင်းကောင်,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
ခင်ရင်တစ်ထုထုပြောခဲ့,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
ငါကငါးတစ်ကောင်ပါ,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
မငိုပါနဲ့,ʀᴏʏᴀʟ ᴛʜᴇ ɢᴏᴅ
